slug;sekcja;tytul_obecny;TYTUL_POPRAWIONY;autor_obecny;AUTOR_POPRAWIONY;wymiary_obecne;WYMIARY_cm;TECHNIKA_jesli_inna;do_poprawy;zdjecie_url_WP;plik_lokalny;UWAGI
chrystus-eucharystyczny-na-krzyzu;EJK;Chrystus Eucharystyczny na Krzyżu;;Elżbieta Jackowska-Kurek;;;;;BRAK wymiarow;https://www.akademiaikony.pl/wp-content/uploads/2026/09/IMG_20220423_121407-3-scaled.jpg;chrystus-eucharystyczny-na-krzyzu.jpg;
chrystus-milosierny;EJK;Chrystus Miłosierny;;Elżbieta Jackowska-Kurek;;;;;BRAK wymiarow;https://www.akademiaikony.pl/wp-content/uploads/2021/08/DSC_0199-2-scaled.jpg;chrystus-milosierny.jpg;
do-uzupelnienia-tytul-ikony;EJK;Trójca Święta;;Elżbieta Jackowska-Kurek;;;;;BRAK wymiarow;https://www.akademiaikony.pl/wp-content/uploads/2017/09/DSC01704.jpg;do-uzupelnienia-tytul-ikony.jpg;
madonna-advocata;EJK;Madonna Advocata;;Elżbieta Jackowska-Kurek;;{'w': 25, 'h': 30};;;Advokata/Advocata;https://www.akademiaikony.pl/wp-content/uploads/2017/09/DSC02959JPG.jpg;madonna-advocata.jpg;
archaniol-gabriel-3;uczniowie;Archanioł Gabriel;;;;{'w': 25, 'h': 40};;;BRAK nazwiska autora;https://www.akademiaikony.pl/wp-content/uploads/2021/02/rsz_11_6.jpg;archaniol-gabriel-3.jpg;
archaniol-gabriel-4;uczniowie;Archanioł Gabriel;;;;{'w': 25, 'h': 30};;;BRAK nazwiska autora;https://www.akademiaikony.pl/wp-content/uploads/2019/06/1-8.jpg;archaniol-gabriel-4.jpg;
boze-narodzenie-2;uczniowie;Boże Narodzenie;;;;{'w': 25, 'h': 26};;;BRAK nazwiska autora;https://www.akademiaikony.pl/wp-content/uploads/2021/02/rsz_11_5.jpg;boze-narodzenie-2.jpg;
boze-narodzenie-3;uczniowie;Boże Narodzenie;;;;{'w': 30, 'h': 40};;;BRAK nazwiska autora;https://www.akademiaikony.pl/wp-content/uploads/2021/02/rsz_1_8-1.jpg;boze-narodzenie-3.jpg;
jezus-chrystus;uczniowie;Jezus Chrystus;;Agnieszka Kunda;;;;;BRAK wymiarow;https://www.akademiaikony.pl/wp-content/uploads/2019/06/3-2.jpg;jezus-chrystus.jpg;
mandylion-3;uczniowie;Mandylion;;;;{'w': 30, 'h': 25};;;BRAK nazwiska autora;https://www.akademiaikony.pl/wp-content/uploads/2021/02/rsz_11_3.jpg;mandylion-3.jpg;
matka-boza;uczniowie;Matka Boża;;;;{'w': 22, 'h': 16};;;BRAK nazwiska autora;https://www.akademiaikony.pl/wp-content/uploads/2021/02/rsz_11_7.jpg;matka-boza.jpg;
matka-boza-advokata;uczniowie;Matka Boża Advokata;;;;{'w': 25, 'h': 15};;;"Advokata/Advocata; BRAK nazwiska autora";https://www.akademiaikony.pl/wp-content/uploads/2017/09/4-4.jpg;matka-boza-advokata.jpg;
matka-boza-pneumatofora;uczniowie;Matka Boża Pneumatofora;;;;{'w': 30, 'h': 25};;;BRAK nazwiska autora;https://www.akademiaikony.pl/wp-content/uploads/2021/02/rsz_11_1.jpg;matka-boza-pneumatofora.jpg;
matka-boza-pompejanska;uczniowie;Matka Boża Pompejańska;;Maria Magdalena Stacewicz;;;;;BRAK wymiarow;https://www.akademiaikony.pl/wp-content/uploads/2017/09/1-5.jpg;matka-boza-pompejanska.jpg;
matka-boza-stolica-madrosci;uczniowie;Matka Boża Stolica Mądrości;;;;{'w': 25, 'h': 30};;;BRAK nazwiska autora;https://www.akademiaikony.pl/wp-content/uploads/2017/09/DSC07020JPG.jpg;matka-boza-stolica-madrosci.jpg;
nie-oplakuj-mnie-matko;uczniowie;NIE OPŁAKUJ MNIE MATKO;;Justyna Suchenek;;{'w': 25, 'h': 30};;;CAPS;https://www.akademiaikony.pl/wp-content/uploads/2019/06/1-4.jpg;nie-oplakuj-mnie-matko.jpg;
przemienienie-panskie;uczniowie;Przemienienie Pańskie;;;;{'w': 40, 'h': 60};;;BRAK nazwiska autora;https://www.akademiaikony.pl/wp-content/uploads/2020/10/3.jpg;przemienienie-panskie.jpg;
swiety-albert-chmielowski;uczniowie;Święty Albert  Chmielowski;;Maurycy Lubak;;{'w': 30, 'h': 40};;;podwojna spacja;https://www.akademiaikony.pl/wp-content/uploads/2019/06/1-3.jpg;swiety-albert-chmielowski.jpg;
archaniol-gabriel;EJK;Archanioł Gabriel;;Elżbieta Jackowska-Kurek;;{'w': 25, 'h': 30};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/zz-3.jpg;archaniol-gabriel.jpg;
archaniol-michal;EJK;Archanioł Michał;;Elżbieta Jackowska-Kurek;;{'w': 25, 'h': 30};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/9-1.jpg;archaniol-michal.jpg;
boze-narodzenie;EJK;Boże Narodzenie;;Elżbieta Jackowska-Kurek;;{'w': 40, 'h': 50};;;;https://www.akademiaikony.pl/wp-content/uploads/2026/09/Boze-Narodzenie-2025-scaled.jpg;boze-narodzenie.jpg;
chrystus-emmanuel;EJK;Chrystus Emmanuel;;Elżbieta Jackowska-Kurek;;{'w': 25, 'h': 30};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/zz-2.jpg;chrystus-emmanuel.jpg;
chrystus-eucharystyczny;EJK;Chrystus Eucharystyczny;;Elżbieta Jackowska-Kurek;;{'w': 20, 'h': 30};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/5-4.jpg;chrystus-eucharystyczny.jpg;
chrystus-pantokrator;EJK;Chrystus Pantokrator;;Elżbieta Jackowska-Kurek;;{'w': 25, 'h': 30};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/DSC02962JPG.jpg;chrystus-pantokrator.jpg;
madylion;EJK;Madylion;;Elżbieta Jackowska-Kurek;;{'w': 21, 'h': 26};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/DSC02954JPG.jpg;madylion.jpg;
mandylion;EJK;Mandylion;;Elżbieta Jackowska-Kurek;;{'w': 30, 'h': 33};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/7-2.jpg;mandylion.jpg;
matka-boza-eleusa;EJK;Matka Boża Eleusa;;Elżbieta Jackowska-Kurek;;{'w': 30, 'h': 25};;;;https://www.akademiaikony.pl/wp-content/uploads/2021/08/DSC_0209-2-scaled.jpg;matka-boza-eleusa.jpg;
matka-boza-krzew-gorejacy;EJK;Matka Boża Krzew Gorejący;;Elżbieta Jackowska-Kurek;;{'w': 30, 'h': 40};;;;https://www.akademiaikony.pl/wp-content/uploads/2019/06/5.jpg;matka-boza-krzew-gorejacy.jpg;
matka-boza-niepokalana;EJK;Matka Boża Niepokalana;;Elżbieta Jackowska-Kurek;;{'w': 60, 'h': 80};;;;https://www.akademiaikony.pl/wp-content/uploads/2026/09/16okladka-str-ostatnia-scaled.jpg;matka-boza-niepokalana.jpg;
matka-boza-sniezna;EJK;Matka Boża Śnieżna;;Elżbieta Jackowska-Kurek;;{'w': 30, 'h': 40};;;;https://www.akademiaikony.pl/wp-content/uploads/2019/06/3-1.jpg;matka-boza-sniezna.jpg;
swiety-andrzej-apostol;EJK;Święty Andrzej Apostoł;;Elżbieta Jackowska-Kurek;;{'w': 30, 'h': 40};;;;https://www.akademiaikony.pl/wp-content/uploads/2019/06/2-1.jpg;swiety-andrzej-apostol.jpg;
swiety-jozef-z-dzieciatkiem-jezus;EJK;Święty Józef z Dzieciątkiem Jezus;;Elżbieta Jackowska-Kurek;;{'w': 30, 'h': 40};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/2-4.jpg;swiety-jozef-z-dzieciatkiem-jezus.jpg;
swiety-mikolaj;EJK;Święty Mikołaj;;Elżbieta Jackowska-Kurek;;{'w': 26, 'h': 32};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/zz-8.jpg;swiety-mikolaj.jpg;
swiety-symeon;EJK;Święty Symeon;;Elżbieta Jackowska-Kurek;;{'w': 25, 'h': 30};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/zz-5.jpg;swiety-symeon.jpg;
trojca-swieta;EJK;Trójca Święta;;Elżbieta Jackowska-Kurek;;{'w': 40, 'h': 60};;;;https://www.akademiaikony.pl/wp-content/uploads/2019/06/2.jpg;trojca-swieta.jpg;
ukrzyzowanie;EJK;Ukrzyżowanie;;Elżbieta Jackowska-Kurek;;{'w': 52, 'h': 36};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/zz-10.jpg;ukrzyzowanie.jpg;
ukrzyzowanie-2;EJK;Ukrzyżowanie;;Elżbieta Jackowska-Kurek;;{'w': 35, 'h': 50};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/DSC02952JPG.jpg;ukrzyzowanie-2.jpg;
archaniol-gabriel-2;uczniowie;Archanioł Gabriel;;Mai Kinle;;{'w': 25, 'h': 30};;;;https://www.akademiaikony.pl/wp-content/uploads/2019/06/6.jpg;archaniol-gabriel-2.jpg;
archaniol-michal-2;uczniowie;Archanioł Michał;;Izabela Jeleniewska;;{'w': 25, 'h': 30};;;;https://www.akademiaikony.pl/wp-content/uploads/2019/06/1-5.jpg;archaniol-michal-2.jpg;
chrystus-na-mocach;uczniowie;Chrystus na Mocach;;Magdalena Limbach;;{'w': 30, 'h': 40};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/DSC07572JPG.jpg;chrystus-na-mocach.jpg;
chrystus-pantokrator-2;uczniowie;Chrystus Pantokrator;;Justyna Suchenek;;{'w': 25, 'h': 30};;;;https://www.akademiaikony.pl/wp-content/uploads/2019/06/5-1.jpg;chrystus-pantokrator-2.jpg;
chrystus-pantokrator-3;uczniowie;Chrystus Pantokrator;;Artur Wesołowski;;{'w': 25, 'h': 30};;;;https://www.akademiaikony.pl/wp-content/uploads/2019/06/4-2.jpg;chrystus-pantokrator-3.jpg;
chrystus-pantokrator-4;uczniowie;Chrystus Pantokrator;;Aleksandra Boniecka;;{'w': 25, 'h': 30};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/DSC01836JPG.jpg;chrystus-pantokrator-4.jpg;
mandylion-2;uczniowie;Mandylion;;Anna Żymełka;;{'w': 25, 'h': 24};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/DSC07579JPG.jpg;mandylion-2.jpg;
matka-boza-koptyjska;uczniowie;Matka Boża Koptyjska;;Elżbieta Mirecka;;{'w': 25, 'h': 30};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/elim35.jpg;matka-boza-koptyjska.jpg;
matka-boza-nieustajacej-pomocy;uczniowie;Matka Boża Nieustającej Pomocy;;Aleksandra Skiera;;{'w': 30, 'h': 40};;;;https://www.akademiaikony.pl/wp-content/uploads/2019/06/1-1.jpg;matka-boza-nieustajacej-pomocy.jpg;
matka-boza-sniezna-2;uczniowie;Matka Boża Śnieżna;;Bożena Wierzbicka;;{'w': 21, 'h': 26};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/DSC07552JPG.jpg;matka-boza-sniezna-2.jpg;
swiety-jerzy;uczniowie;Święty Jerzy;;Piotr Janasik;;{'w': 40, 'h': 60};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/DSC07499JPG.jpg;swiety-jerzy.jpg;
swiety-jerzy-2;uczniowie;Święty Jerzy;;Elżbieta Mirecka;;{'w': 25, 'h': 30};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/praceucz255JPG.jpg;swiety-jerzy-2.jpg;
trojca-swieta-2;uczniowie;Trójca Święta;;Bożena Wierzbicka;;{'w': 25, 'h': 30};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/Trójcam50.jpg;trojca-swieta-2.jpg;
trojca-swieta-3;uczniowie;Trójca Święta;;Aleksandra Boniecka;;{'w': 25, 'h': 30};;;;https://www.akademiaikony.pl/wp-content/uploads/2019/06/1-2.jpg;trojca-swieta-3.jpg;
zstapienie-ducha-swietego;uczniowie;Zstąpienie Ducha Świętego;;Justyna Suchenek;;{'w': 30, 'h': 40};;;;https://www.akademiaikony.pl/wp-content/uploads/2017/09/3-5.jpg;zstapienie-ducha-swietego.jpg;
