slug;nazwisko_obecne;NAZWISKO_POPRAWIONE;tytuly_obecne;TYTULY_POPRAWIONE;afiliacja_obecna;AFILIACJA_POPRAWIONA;ma_bio;UWAGI
maciej-biskup;Maciej Biskup;;o. dr;;Zakon Kaznodziejski (OP);;NIE — do napisania;
marek-szymula;Marek Szymuła;;ks. dr;;;;NIE — do napisania;
aleksander-jacyniak;Aleksander Jacyniak;;o. dr SJ;;Towarzystwo Jezusowe;;tak;
andrzej-persidok;Andrzej Persidok;;ks. dr;;Akademia Katolicka w Warszawie;;tak;
artur-aleksiejuk;Artur Aleksiejuk;;ks. dr;;Chrześcijańska Akademia Teologiczna;;tak;
elzbieta-jackowska-kurek;Elżbieta Jackowska-Kurek;;;;Akademia Ikony · Fundacja IKONA DZIŚ;;tak;
ewa-kocoj;Ewa Kocój;;dr hab.;;Instytut Kultury Uniwersytetu Jagiellońskiego;;tak;
grzegorz-michalczyk;Grzegorz Michalczyk;;ks.;;Kościół Środowisk Twórczych, Warszawa;;tak;
henryk-paprocki;Henryk Paprocki;;ks. dr;;Prawosławne Seminarium Duchowne w Warszawie · Uniwersytet w Białymstoku;;tak;
jerzy-kazimierczak;Jerzy Kazimierczak;;dr;;Warszawska Droga św. Jakuba;;tak;
jozef-naumowicz;Józef Naumowicz;;ks. prof. dr hab.;;Uniwersytet Kardynała Stefana Wyszyńskiego;;tak;
lukasz-hajduczenia;Łukasz Hajduczenia;;dr;;Artes Liberales UW;;tak;
lukasz-leonkiewicz;Łukasz Leonkiewicz;;diakon dr;;Prawosławne Seminarium Duchowne w Warszawie;;tak;
michal-ploski;Michał Płoski;;;;Ikonograf, publicysta;;tak;
piotr-nikolski;Piotr Nikolski;;ks. dr;;Parafia św. Mikołaja w Świdnicy;;tak;
roman-batorski;Roman Batorski;;ks.;;Parafia św. Marcina w Słubicach;;tak;
vitali-michalczuk;Vitali Michalczuk;;;;Instytut Filozofii UW;;tak;
